,index,Temperature Anomalies,year,month
0,0,0.16,1979,1
1,1,-0.05,1979,2
2,2,0.17,1979,3
3,3,0.09,1979,4
4,4,0.14,1979,5
5,5,0.19,1979,6
6,6,0.12,1979,7
7,7,0.21,1979,8
8,8,0.27,1979,9
9,9,0.28,1979,10
10,10,0.27,1979,11
11,11,0.51,1979,12
12,12,0.37,1980,1
13,13,0.46,1980,2
14,14,0.35,1980,3
15,15,0.34,1980,4
16,16,0.39,1980,5
17,17,0.27,1980,6
18,18,0.31,1980,7
19,19,0.28,1980,8
20,20,0.25,1980,9
21,21,0.19,1980,10
22,22,0.26,1980,11
23,23,0.23,1980,12
24,24,0.52,1981,1
25,25,0.43,1981,2
26,26,0.47,1981,3
27,27,0.34,1981,4
28,28,0.28,1981,5
29,29,0.33,1981,6
30,30,0.32,1981,7
31,31,0.34,1981,8
32,32,0.22,1981,9
33,33,0.25,1981,10
34,34,0.29,1981,11
35,35,0.46,1981,12
36,36,0.09,1982,1
37,37,0.21,1982,2
38,38,0.05,1982,3
39,39,0.15,1982,4
40,40,0.17,1982,5
41,41,0.1,1982,6
42,42,0.18,1982,7
43,43,0.11,1982,8
44,44,0.2,1982,9
45,45,0.16,1982,10
46,46,0.16,1982,11
47,47,0.44,1982,12
48,48,0.49,1983,1
49,49,0.45,1983,2
50,50,0.42,1983,3
51,51,0.28,1983,4
52,52,0.37,1983,5
53,53,0.3,1983,6
54,54,0.23,1983,7
55,55,0.36,1983,8
56,56,0.42,1983,9
57,57,0.22,1983,10
58,58,0.35,1983,11
59,59,0.23,1983,12
60,60,0.3,1984,1
61,61,0.19,1984,2
62,62,0.3,1984,3
63,63,0.12,1984,4
64,64,0.36,1984,5
65,65,0.1,1984,6
66,66,0.17,1984,7
67,67,0.21,1984,8
68,68,0.24,1984,9
69,69,0.16,1984,10
70,70,0.08,1984,11
71,71,0.01,1984,12
72,72,0.28,1985,1
73,73,0.04,1985,2
74,74,0.21,1985,3
75,75,0.14,1985,4
76,76,0.19,1985,5
77,77,0.19,1985,6
78,78,0.04,1985,7
79,79,0.17,1985,8
80,80,0.17,1985,9
81,81,0.13,1985,10
82,82,0.11,1985,11
83,83,0.19,1985,12
84,84,0.28,1986,1
85,85,0.39,1986,2
86,86,0.3,1986,3
87,87,0.25,1986,4
88,88,0.27,1986,5
89,89,0.17,1986,6
90,90,0.17,1986,7
91,91,0.19,1986,8
92,92,0.12,1986,9
93,93,0.17,1986,10
94,94,0.13,1986,11
95,95,0.21,1986,12
96,96,0.34,1987,1
97,97,0.38,1987,2
98,98,0.2,1987,3
99,99,0.26,1987,4
100,100,0.31,1987,5
101,101,0.36,1987,6
102,102,0.48,1987,7
103,103,0.31,1987,8
104,104,0.4,1987,9
105,105,0.33,1987,10
106,106,0.26,1987,11
107,107,0.45,1987,12
108,108,0.54,1988,1
109,109,0.46,1988,2
110,110,0.52,1988,3
111,111,0.45,1988,4
112,112,0.46,1988,5
113,113,0.43,1988,6
114,114,0.36,1988,7
115,115,0.4,1988,8
116,116,0.38,1988,9
117,117,0.36,1988,10
118,118,0.14,1988,11
119,119,0.28,1988,12
120,120,0.1,1989,1
121,121,0.32,1989,2
122,122,0.32,1989,3
123,123,0.31,1989,4
124,124,0.2,1989,5
125,125,0.22,1989,6
126,126,0.3,1989,7
127,127,0.33,1989,8
128,128,0.39,1989,9
129,129,0.31,1989,10
130,130,0.17,1989,11
131,131,0.41,1989,12
132,132,0.38,1990,1
133,133,0.38,1990,2
134,134,0.75,1990,3
135,135,0.61,1990,4
136,136,0.51,1990,5
137,137,0.39,1990,6
138,138,0.41,1990,7
139,139,0.35,1990,8
140,140,0.32,1990,9
141,141,0.42,1990,10
142,142,0.41,1990,11
143,143,0.41,1990,12
144,144,0.4,1991,1
145,145,0.5,1991,2
146,146,0.37,1991,3
147,147,0.52,1991,4
148,148,0.42,1991,5
149,149,0.54,1991,6
150,150,0.48,1991,7
151,151,0.41,1991,8
152,152,0.42,1991,9
153,153,0.32,1991,10
154,154,0.3,1991,11
155,155,0.29,1991,12
156,156,0.43,1992,1
157,157,0.43,1992,2
158,158,0.47,1992,3
159,159,0.29,1992,4
160,160,0.34,1992,5
161,161,0.29,1992,6
162,162,0.14,1992,7
163,163,0.1,1992,8
164,164,0.03,1992,9
165,165,0.06,1992,10
166,166,0.04,1992,11
167,167,0.2,1992,12
168,168,0.33,1993,1
169,169,0.39,1993,2
170,170,0.36,1993,3
171,171,0.32,1993,4
172,172,0.3,1993,5
173,173,0.31,1993,6
174,174,0.26,1993,7
175,175,0.18,1993,8
176,176,0.19,1993,9
177,177,0.25,1993,10
178,178,0.08,1993,11
179,179,0.2,1993,12
180,180,0.22,1994,1
181,181,0.06,1994,2
182,182,0.3,1994,3
183,183,0.39,1994,4
184,184,0.33,1994,5
185,185,0.43,1994,6
186,186,0.32,1994,7
187,187,0.24,1994,8
188,188,0.35,1994,9
189,189,0.44,1994,10
190,190,0.43,1994,11
191,191,0.38,1994,12
