,index,year,month,decimal_date,monthly_average,average_unc,trend,trend_unc
0,12,1980,1,1980.042,338.55,0.13,337.91,0.1
1,13,1980,2,1980.125,339.26,0.1,338.23,0.09
2,14,1980,3,1980.208,339.59,0.08,338.23,0.09
3,15,1980,4,1980.292,339.99,0.08,338.39,0.08
4,16,1980,5,1980.375,340.44,0.1,338.88,0.07
5,17,1980,6,1980.458,339.99,0.09,339.22,0.07
6,18,1980,7,1980.542,338.44,0.16,339.28,0.07
7,19,1980,8,1980.625,337.21,0.19,339.5,0.06
8,20,1980,9,1980.708,337.05,0.12,339.44,0.06
9,21,1980,10,1980.792,337.83,0.07,339.17,0.07
10,22,1980,11,1980.875,338.93,0.06,339.26,0.07
11,23,1980,12,1980.958,339.64,0.08,339.41,0.07
12,24,1981,1,1981.042,340.18,0.1,339.55,0.08
13,25,1981,2,1981.125,340.75,0.11,339.71,0.08
14,26,1981,3,1981.208,341.38,0.12,340.02,0.08
15,27,1981,4,1981.292,341.68,0.08,340.08,0.08
16,28,1981,5,1981.375,341.43,0.06,339.88,0.09
17,29,1981,6,1981.458,340.63,0.1,339.86,0.09
18,30,1981,7,1981.542,339.22,0.15,340.07,0.09
19,31,1981,8,1981.625,338.08,0.17,340.37,0.09
20,32,1981,9,1981.708,337.98,0.11,340.36,0.08
21,33,1981,10,1981.792,339.07,0.09,340.42,0.08
22,34,1981,11,1981.875,340.18,0.11,340.5,0.07
23,35,1981,12,1981.958,340.75,0.09,340.51,0.07
24,36,1982,1,1982.042,341.37,0.08,340.74,0.06
25,37,1982,2,1982.125,341.95,0.08,340.91,0.05
26,38,1982,3,1982.208,342.23,0.07,340.84,0.05
27,39,1982,4,1982.292,342.52,0.07,340.91,0.04
28,40,1982,5,1982.375,342.36,0.07,340.82,0.04
29,41,1982,6,1982.458,341.49,0.03,340.72,0.03
30,42,1982,7,1982.542,339.75,0.08,340.61,0.03
31,43,1982,8,1982.625,338.11,0.09,340.4,0.03
32,44,1982,9,1982.708,338.16,0.07,340.54,0.03
33,45,1982,10,1982.792,339.62,0.05,340.97,0.03
34,46,1982,11,1982.875,340.95,0.06,341.27,0.03
35,47,1982,12,1982.958,341.77,0.06,341.53,0.03
36,48,1983,1,1983.042,342.37,0.05,341.71,0.03
37,49,1983,2,1983.125,342.74,0.08,341.71,0.03
38,50,1983,3,1983.208,343.04,0.08,341.7,0.03
39,51,1983,4,1983.292,343.51,0.05,341.94,0.04
40,52,1983,5,1983.375,343.84,0.1,342.3,0.04
41,53,1983,6,1983.458,343.5,0.1,342.71,0.04
42,54,1983,7,1983.542,342.14,0.14,342.9,0.05
43,55,1983,8,1983.625,340.62,0.16,342.85,0.05
44,56,1983,9,1983.708,340.53,0.09,342.94,0.05
45,57,1983,10,1983.792,341.75,0.11,343.15,0.06
46,58,1983,11,1983.875,342.83,0.14,343.19,0.06
47,59,1983,12,1983.958,343.49,0.11,343.26,0.06
48,60,1984,1,1984.042,344.32,0.05,343.66,0.06
49,61,1984,2,1984.125,344.82,0.05,343.82,0.07
50,62,1984,3,1984.208,344.96,0.07,343.6,0.07
51,63,1984,4,1984.292,345.19,0.13,343.56,0.07
52,64,1984,5,1984.375,345.33,0.1,343.78,0.08
53,65,1984,6,1984.458,344.57,0.05,343.8,0.08
54,66,1984,7,1984.542,343.2,0.11,344.02,0.08
55,67,1984,8,1984.625,342.21,0.16,344.51,0.08
56,68,1984,9,1984.708,342.13,0.15,344.57,0.09
57,69,1984,10,1984.792,342.99,0.13,344.37,0.09
58,70,1984,11,1984.875,344.16,0.14,344.46,0.09
59,71,1984,12,1984.958,345.0,0.12,344.72,0.09
60,72,1985,1,1985.042,345.35,0.1,344.66,0.09
61,73,1985,2,1985.125,345.8,0.1,344.78,0.09
62,74,1985,3,1985.208,346.64,0.11,345.31,0.09
63,75,1985,4,1985.292,346.94,0.11,345.33,0.09
64,76,1985,5,1985.375,346.78,0.1,345.2,0.09
65,77,1985,6,1985.458,346.26,0.11,345.47,0.09
66,78,1985,7,1985.542,344.92,0.14,345.75,0.09
67,79,1985,8,1985.625,343.41,0.13,345.73,0.08
68,80,1985,9,1985.708,343.37,0.08,345.82,0.08
69,81,1985,10,1985.792,344.64,0.08,346.03,0.08
70,82,1985,11,1985.875,345.79,0.1,346.11,0.08
71,83,1985,12,1985.958,346.55,0.1,346.25,0.07
72,84,1986,1,1986.042,347.11,0.11,346.42,0.07
73,85,1986,2,1986.125,347.34,0.12,346.34,0.07
74,86,1986,3,1986.208,347.71,0.12,346.38,0.07
75,87,1986,4,1986.292,348.22,0.13,346.61,0.07
76,88,1986,5,1986.375,348.32,0.11,346.75,0.07
77,89,1986,6,1986.458,347.76,0.09,346.99,0.07
78,90,1986,7,1986.542,346.29,0.15,347.14,0.07
79,91,1986,8,1986.625,344.92,0.12,347.22,0.07
80,92,1986,9,1986.708,344.86,0.1,347.26,0.07
81,93,1986,10,1986.792,346.03,0.14,347.4,0.07
82,94,1986,11,1986.875,347.3,0.16,347.63,0.08
83,95,1986,12,1986.958,347.76,0.14,347.46,0.08
84,96,1987,1,1987.042,348.02,0.11,347.25,0.08
85,97,1987,2,1987.125,348.57,0.11,347.47,0.09
86,98,1987,3,1987.208,349.29,0.11,347.88,0.09
87,99,1987,4,1987.292,349.98,0.13,348.3,0.09
88,100,1987,5,1987.375,350.26,0.16,348.69,0.1
89,101,1987,6,1987.458,349.48,0.13,348.81,0.1
90,102,1987,7,1987.542,347.86,0.15,348.85,0.1
91,103,1987,8,1987.625,346.61,0.17,349.01,0.1
92,104,1987,9,1987.708,346.7,0.12,349.14,0.1
93,105,1987,10,1987.792,347.97,0.13,349.36,0.1
94,106,1987,11,1987.875,349.25,0.13,349.58,0.09
95,107,1987,12,1987.958,350.21,0.13,349.88,0.09
96,108,1988,1,1988.042,350.91,0.1,350.13,0.09
97,109,1988,2,1988.125,351.47,0.08,350.37,0.08
98,110,1988,3,1988.208,351.85,0.1,350.39,0.08
99,111,1988,4,1988.292,352.3,0.11,350.52,0.08
100,112,1988,5,1988.375,352.46,0.11,350.83,0.07
101,113,1988,6,1988.458,351.76,0.09,351.07,0.07
102,114,1988,7,1988.542,350.28,0.13,351.27,0.06
103,115,1988,8,1988.625,349.1,0.15,351.56,0.06
104,116,1988,9,1988.708,349.27,0.11,351.79,0.06
105,117,1988,10,1988.792,350.44,0.1,351.85,0.06
106,118,1988,11,1988.875,351.61,0.09,351.98,0.06
107,119,1988,12,1988.958,352.46,0.1,352.16,0.06
108,120,1989,1,1989.042,352.99,0.08,352.18,0.06
109,121,1989,2,1989.125,353.46,0.09,352.33,0.06
110,122,1989,3,1989.208,354.0,0.1,352.58,0.06
111,123,1989,4,1989.292,354.38,0.1,352.6,0.07
112,124,1989,5,1989.375,354.19,0.1,352.51,0.07
