Global Land and Ocean December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Date,Anomaly
195901,0.13
195902,0.10
195903,0.22
195904,0.15
195905,0.09
195906,0.10
195907,0.09
195908,0.05
195909,0.02
195910,0.00
195911,-0.04
195912,0.03
196001,0.05
196002,0.16
196003,-0.24
196004,-0.11
196005,-0.06
196006,-0.01
196007,0.01
196008,0.05
196009,0.08
196010,0.05
196011,-0.11
196012,0.24
196101,0.11
196102,0.17
196103,0.11
196104,0.15
196105,0.14
196106,0.13
196107,0.07
196108,0.06
196109,0.07
196110,-0.01
196111,0.03
196112,-0.11
196201,0.06
196202,0.16
196203,0.17
196204,0.05
196205,-0.04
196206,0.03
196207,0.03
196208,0.00
196209,0.03
196210,0.03
196211,0.11
196212,0.03
196301,0.02
196302,0.21
196303,-0.11
196304,-0.03
196305,-0.04
196306,0.03
196307,0.08
196308,0.20
196309,0.17
196310,0.13
196311,0.11
196312,0.05
196401,-0.05
196402,-0.10
196403,-0.22
196404,-0.27
196405,-0.20
196406,-0.03
196407,-0.03
196408,-0.12
196409,-0.24
196410,-0.28
196411,-0.24
196412,-0.24
196501,-0.07
196502,-0.16
196503,-0.12
196504,-0.17
196505,-0.10
196506,-0.08
196507,-0.07
196508,-0.02
196509,-0.07
196510,0.01
196511,0.00
196512,-0.04
196601,-0.14
196602,-0.03
196603,0.00
196604,-0.11
196605,-0.05
196606,0.04
196607,0.13
196608,-0.02
196609,0.01
196610,-0.14
196611,-0.03
196612,-0.02
196701,-0.09
196702,-0.19
196703,0.04
196704,-0.01
196705,0.19
196706,0.00
196707,0.02
196708,0.03
196709,0.01
196710,0.12
196711,-0.05
196712,0.02
196801,-0.21
196802,-0.13
196803,0.17
196804,-0.04
196805,-0.06
196806,-0.02
196807,-0.09
196808,-0.01
196809,-0.09
196810,0.06
196811,-0.10
196812,-0.11
196901,-0.06
196902,-0.06
196903,0.08
196904,0.18
196905,0.22
196906,0.10
196907,0.03
196908,0.06
196909,0.11
196910,0.13
196911,0.14
196912,0.29
197001,0.17
197002,0.21
197003,0.11
197004,0.10
