,year,month,decimal date,temperature anomalies,Co2 ppm
0,1979,1,1979.042,0.16,336.56
1,1979,2,1979.125,-0.05,337.29
2,1979,3,1979.208,0.17,337.88
3,1979,4,1979.292,0.09,338.32
4,1979,5,1979.375,0.14,338.26
5,1979,6,1979.458,0.19,337.38
6,1979,7,1979.542,0.12,335.56
7,1979,8,1979.625,0.21,334.36
8,1979,9,1979.708,0.27,335.02
9,1979,10,1979.792,0.28,336.36
10,1979,11,1979.875,0.27,337.36
11,1979,12,1979.958,0.51,337.85
12,1980,1,1980.042,0.37,338.55
13,1980,2,1980.125,0.46,339.26
14,1980,3,1980.208,0.35,339.59
15,1980,4,1980.292,0.34,339.99
16,1980,5,1980.375,0.39,340.44
17,1980,6,1980.458,0.27,339.99
18,1980,7,1980.542,0.31,338.44
19,1980,8,1980.625,0.28,337.21
20,1980,9,1980.708,0.25,337.05
21,1980,10,1980.792,0.19,337.83
22,1980,11,1980.875,0.26,338.93
23,1980,12,1980.958,0.23,339.64
24,1981,1,1981.042,0.52,340.18
25,1981,2,1981.125,0.43,340.75
26,1981,3,1981.208,0.47,341.38
27,1981,4,1981.292,0.34,341.68
28,1981,5,1981.375,0.28,341.43
29,1981,6,1981.458,0.33,340.63
30,1981,7,1981.542,0.32,339.22
31,1981,8,1981.625,0.34,338.08
32,1981,9,1981.708,0.22,337.98
33,1981,10,1981.792,0.25,339.07
34,1981,11,1981.875,0.29,340.18
35,1981,12,1981.958,0.46,340.75
36,1982,1,1982.042,0.09,341.37
37,1982,2,1982.125,0.21,341.95
38,1982,3,1982.208,0.05,342.23
39,1982,4,1982.292,0.15,342.52
40,1982,5,1982.375,0.17,342.36
41,1982,6,1982.458,0.1,341.49
42,1982,7,1982.542,0.18,339.75
43,1982,8,1982.625,0.11,338.11
44,1982,9,1982.708,0.2,338.16
45,1982,10,1982.792,0.16,339.62
46,1982,11,1982.875,0.16,340.95
47,1982,12,1982.958,0.44,341.77
48,1983,1,1983.042,0.49,342.37
49,1983,2,1983.125,0.45,342.74
50,1983,3,1983.208,0.42,343.04
51,1983,4,1983.292,0.28,343.51
52,1983,5,1983.375,0.37,343.84
53,1983,6,1983.458,0.3,343.5
54,1983,7,1983.542,0.23,342.14
55,1983,8,1983.625,0.36,340.62
56,1983,9,1983.708,0.42,340.53
57,1983,10,1983.792,0.22,341.75
58,1983,11,1983.875,0.35,342.83
59,1983,12,1983.958,0.23,343.49
60,1984,1,1984.042,0.3,344.32
61,1984,2,1984.125,0.19,344.82
62,1984,3,1984.208,0.3,344.96
63,1984,4,1984.292,0.12,345.19
64,1984,5,1984.375,0.36,345.33
65,1984,6,1984.458,0.1,344.57
66,1984,7,1984.542,0.17,343.2
67,1984,8,1984.625,0.21,342.21
68,1984,9,1984.708,0.24,342.13
69,1984,10,1984.792,0.16,342.99
70,1984,11,1984.875,0.08,344.16
71,1984,12,1984.958,0.01,345.0
72,1985,1,1985.042,0.28,345.35
73,1985,2,1985.125,0.04,345.8
74,1985,3,1985.208,0.21,346.64
75,1985,4,1985.292,0.14,346.94
76,1985,5,1985.375,0.19,346.78
77,1985,6,1985.458,0.19,346.26
78,1985,7,1985.542,0.04,344.92
79,1985,8,1985.625,0.17,343.41
80,1985,9,1985.708,0.17,343.37
81,1985,10,1985.792,0.13,344.64
82,1985,11,1985.875,0.11,345.79
83,1985,12,1985.958,0.19,346.55
84,1986,1,1986.042,0.28,347.11
85,1986,2,1986.125,0.39,347.34
86,1986,3,1986.208,0.3,347.71
87,1986,4,1986.292,0.25,348.22
88,1986,5,1986.375,0.27,348.32
89,1986,6,1986.458,0.17,347.76
90,1986,7,1986.542,0.17,346.29
91,1986,8,1986.625,0.19,344.92
92,1986,9,1986.708,0.12,344.86
93,1986,10,1986.792,0.17,346.03
94,1986,11,1986.875,0.13,347.3
95,1986,12,1986.958,0.21,347.76
96,1987,1,1987.042,0.34,348.02
97,1987,2,1987.125,0.38,348.57
98,1987,3,1987.208,0.2,349.29
99,1987,4,1987.292,0.26,349.98
100,1987,5,1987.375,0.31,350.26
101,1987,6,1987.458,0.36,349.48
102,1987,7,1987.542,0.48,347.86
103,1987,8,1987.625,0.31,346.61
104,1987,9,1987.708,0.4,346.7
105,1987,10,1987.792,0.33,347.97
106,1987,11,1987.875,0.26,349.25
107,1987,12,1987.958,0.45,350.21
108,1988,1,1988.042,0.54,350.91
109,1988,2,1988.125,0.46,351.47
110,1988,3,1988.208,0.52,351.85
111,1988,4,1988.292,0.45,352.3
112,1988,5,1988.375,0.46,352.46
113,1988,6,1988.458,0.43,351.76
114,1988,7,1988.542,0.36,350.28
115,1988,8,1988.625,0.4,349.1
116,1988,9,1988.708,0.38,349.27
117,1988,10,1988.792,0.36,350.44
118,1988,11,1988.875,0.14,351.61
119,1988,12,1988.958,0.28,352.46
120,1989,1,1989.042,0.1,352.99
121,1989,2,1989.125,0.32,353.46
122,1989,3,1989.208,0.32,354.0
123,1989,4,1989.292,0.31,354.38
124,1989,5,1989.375,0.2,354.19
125,1989,6,1989.458,0.22,353.26
126,1989,7,1989.542,0.3,351.56
127,1989,8,1989.625,0.33,350.21
128,1989,9,1989.708,0.39,350.56
129,1989,10,1989.792,0.31,351.85
130,1989,11,1989.875,0.17,353.04
131,1989,12,1989.958,0.41,353.91
132,1990,1,1990.042,0.38,354.46
133,1990,2,1990.125,0.38,354.87
134,1990,3,1990.208,0.75,355.2
135,1990,4,1990.292,0.61,355.5
136,1990,5,1990.375,0.51,355.4
137,1990,6,1990.458,0.39,354.33
138,1990,7,1990.542,0.41,352.71
139,1990,8,1990.625,0.35,351.59
140,1990,9,1990.708,0.32,351.8
141,1990,10,1990.792,0.42,353.19
142,1990,11,1990.875,0.41,354.43
143,1990,12,1990.958,0.41,355.18
144,1991,1,1991.042,0.4,355.76
145,1991,2,1991.125,0.5,356.19
146,1991,3,1991.208,0.37,356.68
147,1991,4,1991.292,0.52,357.19
148,1991,5,1991.375,0.42,357.11
149,1991,6,1991.458,0.54,356.17
150,1991,7,1991.542,0.48,354.53
151,1991,8,1991.625,0.41,353.05
152,1991,9,1991.708,0.42,352.93
153,1991,10,1991.792,0.32,354.0
154,1991,11,1991.875,0.3,355.16
155,1991,12,1991.958,0.29,355.95
156,1992,1,1992.042,0.43,356.52
157,1992,2,1992.125,0.43,356.89
158,1992,3,1992.208,0.47,357.26
159,1992,4,1992.292,0.29,357.75
160,1992,5,1992.375,0.34,357.82
161,1992,6,1992.458,0.29,356.87
162,1992,7,1992.542,0.14,355.19
163,1992,8,1992.625,0.1,353.68
164,1992,9,1992.708,0.03,353.58
165,1992,10,1992.792,0.06,354.8
166,1992,11,1992.875,0.04,355.98
167,1992,12,1992.958,0.2,356.74
168,1993,1,1993.042,0.33,357.21
169,1993,2,1993.125,0.39,357.55
170,1993,3,1993.208,0.36,357.96
171,1993,4,1993.292,0.32,358.43
172,1993,5,1993.375,0.3,358.38
173,1993,6,1993.458,0.31,357.34
174,1993,7,1993.542,0.26,355.72
175,1993,8,1993.625,0.18,354.44
176,1993,9,1993.708,0.19,354.47
177,1993,10,1993.792,0.25,355.7
178,1993,11,1993.875,0.08,356.95
179,1993,12,1993.958,0.2,357.85
180,1994,1,1994.042,0.22,358.47
181,1994,2,1994.125,0.06,359.01
182,1994,3,1994.208,0.3,359.36
183,1994,4,1994.292,0.39,359.71
184,1994,5,1994.375,0.33,359.74
185,1994,6,1994.458,0.43,358.81
186,1994,7,1994.542,0.32,357.27
187,1994,8,1994.625,0.24,356.05
188,1994,9,1994.708,0.35,356.02
189,1994,10,1994.792,0.44,357.26
190,1994,11,1994.875,0.43,358.69
191,1994,12,1994.958,0.38,359.55
192,1995,1,1995.042,0.54,360.13
193,1995,2,1995.125,0.76,360.61
194,1995,3,1995.208,0.51,361.08
195,1995,4,1995.292,0.5,361.55
196,1995,5,1995.375,0.33,361.47
197,1995,6,1995.458,0.46,360.61
198,1995,7,1995.542,0.49,358.99
199,1995,8,1995.625,0.53,357.73
200,1995,9,1995.708,0.41,358.05
201,1995,10,1995.792,0.43,359.42
202,1995,11,1995.875,0.46,360.77
203,1995,12,1995.958,0.3,361.65
204,1996,1,1996.042,0.27,362.14
205,1996,2,1996.125,0.49,362.5
206,1996,3,1996.208,0.38,362.82
207,1996,4,1996.292,0.34,363.14
208,1996,5,1996.375,0.33,363.29
209,1996,6,1996.458,0.29,362.88
210,1996,7,1996.542,0.37,361.57
211,1996,8,1996.625,0.45,360.07
212,1996,9,1996.708,0.28,359.7
213,1996,10,1996.792,0.2,360.67
214,1996,11,1996.875,0.39,361.78
215,1996,12,1996.958,0.36,362.63
216,1997,1,1997.042,0.26,363.28
217,1997,2,1997.125,0.37,363.65
218,1997,3,1997.208,0.51,364.03
219,1997,4,1997.292,0.39,364.51
220,1997,5,1997.375,0.39,364.51
221,1997,6,1997.458,0.56,363.6
222,1997,7,1997.542,0.42,361.93
223,1997,8,1997.625,0.46,360.41
224,1997,9,1997.708,0.61,360.41
225,1997,10,1997.792,0.64,361.94
226,1997,11,1997.875,0.62,363.61
227,1997,12,1997.958,0.58,364.68
228,1998,1,1998.042,0.59,365.19
229,1998,2,1998.125,0.81,365.46
230,1998,3,1998.208,0.64,365.93
231,1998,4,1998.292,0.72,366.58
232,1998,5,1998.375,0.7,366.86
233,1998,6,1998.458,0.73,366.27
234,1998,7,1998.542,0.7,364.84
235,1998,8,1998.625,0.71,363.79
